XBAR.I0:AE X,XBAR.I0:AE Y,r0 X,r0 Y,XBAR.I0:OE X,XBAR.I0:OE Y
1.663853310091734e-11,-0.0001104748380923989,1.663853310091734e-11,-1.398269592557505,1.663853310091734e-11,0.0001104748380923989
1.663930440914763e-11,-0.0001116232642459751,1.663930440914763e-11,-1.398269512341449,1.663930440914763e-11,0.0001116232642459751
1.664084702560822e-11,-0.0001126295525499572,1.664084702560822e-11,-1.398269351909337,1.664084702560822e-11,0.0001126295525499572
1.664193655661283e-11,-0.0001146482423892608,1.664193655661283e-11,-1.398269238598112,1.664193655661283e-11,0.0001146482423892608
1.664372418496638e-11,-0.0001161743015560737,1.664372418496638e-11,-1.398269052684763,1.664372418496638e-11,0.0001161743015560737
1.664659575750382e-11,-0.000118603899350033,1.664659575750382e-11,-1.39826875404122,1.664659575750382e-11,0.000118603899350033
1.66521111717597e-11,-0.000122586218805657,1.66521111717597e-11,-1.398268180438137,1.66521111717597e-11,0.000122586218805657
1.665880682545705e-11,-0.0001303059213983527,1.665880682545705e-11,-1.398267484090152,1.665880682545705e-11,0.0001303059213983527
1.666371235425471e-11,-0.0001404141810308324,1.666371235425471e-11,-1.398266973915157,1.666371235425471e-11,0.0001404141810308324
1.66676826417697e-11,-0.0001488384640435508,1.66676826417697e-11,-1.398266561005256,1.66676826417697e-11,0.0001488384640435508
1.667211495716007e-11,-0.0001560717768668432,1.667211495716007e-11,-1.398266100044455,1.667211495716007e-11,0.0001560717768668432
1.667759379139771e-11,-0.0001642280976167216,1.667759379139771e-11,-1.398265530245695,1.667759379139771e-11,0.0001642280976167216
1.668505650163488e-11,-0.0001744965965418656,1.668505650163488e-11,-1.39826475412383,1.668505650163488e-11,0.0001744965965418656
1.66933923993008e-11,-0.0001886047446474887,1.66933923993008e-11,-1.398263887190473,1.66933923993008e-11,0.0001886047446474887
1.670332551506652e-11,-0.0002049575387125834,1.670332551506652e-11,-1.398262854146433,1.670332551506652e-11,0.0002049575387125834
1.671301705294687e-11,-0.0002243976842625554,1.671301705294687e-11,-1.398261846226494,1.671301705294687e-11,0.0002243976842625554
1.672043416652744e-11,-0.0002438345638832048,1.672043416652744e-11,-1.398261074846681,1.672043416652744e-11,0.0002438345638832048
1.672349304703776e-11,-0.0002592460360749296,1.672349304703776e-11,-1.398260756723108,1.672349304703776e-11,0.0002592460360749296
1.672502248729292e-11,-0.0002666191055946295,1.672502248729292e-11,-1.398260597661321,1.672502248729292e-11,0.0002666191055946295
1.672808136780325e-11,-0.0002700929509156745,1.672808136780325e-11,-1.398260279537748,1.672808136780325e-11,0.0002700929509156745
1.673414579328285e-11,-0.000275559064360453,1.673414579328285e-11,-1.398259648837499,1.673414579328285e-11,0.000275559064360453
1.673655326522595e-11,-0.0002860766812136814,1.673655326522595e-11,-1.398259398460416,1.673655326522595e-11,0.0002860766812136814
1.67377570011975e-11,-0.0002916483144077417,1.67377570011975e-11,-1.398259273271875,1.67377570011975e-11,0.0002916483144077417
1.674016447314061e-11,-0.0002942146896523366,1.674016447314061e-11,-1.398259022894793,1.674016447314061e-11,0.0002942146896523366
1.674497941702681e-11,-0.000298205982867924,1.674497941702681e-11,-1.398258522140629,1.674497941702681e-11,0.000298205982867924
1.674710472358063e-11,-0.0003060230118814515,1.674710472358063e-11,-1.398258301108747,1.674710472358063e-11,0.0003060230118814515
1.675135533668826e-11,-0.0003105091133799057,1.675135533668826e-11,-1.398257859044984,1.675135533668826e-11,0.0003105091133799057
1.675873045588525e-11,-0.0003171257096794206,1.675873045588525e-11,-1.398257092032588,1.675873045588525e-11,0.0003171257096794206
1.676148447928832e-11,-0.0003283834432327905,1.676148447928832e-11,-1.398256805614154,1.676148447928832e-11,0.0003283834432327905
1.676699252609445e-11,-0.0003341185614528491,1.676699252609445e-11,-1.398256232777286,1.676699252609445e-11,0.0003341185614528491
1.677649438309969e-11,-0.0003419200110698744,1.677649438309969e-11,-1.398255244584158,1.677649438309969e-11,0.0003419200110698744
1.678886163181842e-11,-0.0003550251561218034,1.678886163181842e-11,-1.398253958390291,1.678886163181842e-11,0.0003550251561218034
1.679504525617778e-11,-0.0003717505322802374,1.679504525617778e-11,-1.398253315293357,1.679504525617778e-11,0.0003717505322802374
1.680723524797911e-11,-0.0003816046078262158,1.680723524797911e-11,-1.39825204753421,1.680723524797911e-11,0.0003816046078262158
1.683161523158178e-11,-0.000395568440588226,1.683161523158178e-11,-1.398249512015915,1.683161523158178e-11,0.000395568440588226
1.683687194360905e-11,-0.0004210279639425182,1.683687194360905e-11,-1.398248965317864,1.683687194360905e-11,0.0004210279639425182
1.684709864460257e-11,-0.0004309580685570662,1.684709864460257e-11,-1.398247901740961,1.684709864460257e-11,0.0004309580685570662
1.686719025915318e-11,-0.0004402412833616472,1.686719025915318e-11,-1.398245812213048,1.686719025915318e-11,0.0004402412833616472
1.688303168553519e-11,-0.000457222011570802,1.688303168553519e-11,-1.398244164704704,1.688303168553519e-11,0.000457222011570802
1.688909190507191e-11,-0.0004717204156474391,1.688909190507191e-11,-1.398243534441872,1.688909190507191e-11,0.0004717204156474391
1.690121234414535e-11,-0.0004783049245365369,1.690121234414535e-11,-1.398242273916209,1.690121234414535e-11,0.0004783049245365369
1.691867398496473e-11,-0.0004866353514938253,1.691867398496473e-11,-1.398240457905564,1.691867398496473e-11,0.0004866353514938253
1.694073527144991e-11,-0.0004984195766960052,1.694073527144991e-11,-1.398238163531769,1.694073527144991e-11,0.0004984195766960052
